Location_Name,Address,lat,lon,demand
St Georges Tavern,"14 Belgrave Road, London",51.492945,-0.145083,5
The Heron Public House,"The Heron, Norfolk Crescent, London",51.516747,-0.167307,1
Tudor Rose Public House,"44 Blandford Street, London",51.518548,-0.153729,4
Ebury Wine Bar,"139 Ebury Street, London",51.493963,-0.149176,4
Two Chairmen Public House,"39 Dartmouth Street, London",51.50051,-0.131664,5
Crazy Homies,"Basement And Ground Floor, 125 Westbourne Park Road, London",51.518808,-0.197031,5
Warrington Hotel Public House,"93 Warrington Crescent, London",51.52653,-0.183449,4
Captains Cabin Public House,"4-7 Norris Street, London",51.509131,-0.133156,4
The Prince Edward PH,"73 Princes Square, London",51.5131,-0.193683,3
The Abbey Victoria,"1 Abbey Orchard Street, London",51.498248,-0.131325,3
Devereux Public House,"20 Devereux Court, London",51.51315,-0.112858,5
The Brewmaster,"37 Cranbourn Street, London",51.511439,-0.127874,4
Sir John Balcombe,"21 Balcombe Street, London",51.523532,-0.161859,1
Running Footman Public House,"Running Footman, 5 Charles Street, London",51.508563,-0.146106,2
The Plumbers Arms Public House,"14 Lower Belgrave Street, London",51.496884,-0.147934,4
Prince Regent Public House,"71 Marylebone High Street, London",51.521526,-0.152095,1
The Lord Moon Of The Mall,"16-18 Whitehall, London",51.50647,-0.127544,2
Spread Eagle Public House,"8 Woodstock Street, London",51.51428,-0.147084,2
Five Guys,"1-3 Long Acre, London",51.511962,-0.12631,1
Belushi's Bar/Cafe,"9 Russell Street, London",51.512318,-0.121569,3
The Feathers Public House,"18-20 Broadway, London",51.499352,-0.132922,4
Tower Tavern,"21 Clipstone Street, London",51.520677,-0.142774,4
Cock Tavern Public House,"27 Great Portland Street, London",51.516836,-0.141518,4
Finos Wine Cellar,"Basement, 123 Mount Street, London",51.51001,-0.148353,5
Pikul's Kitchen,"4 Bedfordbury, London",51.509903,-0.125761,1
The John Snow Public House,"39 Broadwick Street, London",51.513269,-0.136605,5
Royal Exchange Public House,"26 Sale Place, London",51.518196,-0.169728,2
Duke Of Kendal Public House,"38 Connaught Street, London",51.51469,-0.165717,5
Lamb And Flag Public House,"24 James Street, Marylebone, London",51.514899,-0.150417,5
Duke Of Wellington Public House,"94A Crawford Street, London",51.519331,-0.161236,5
Zoo Too,"18 Bear Street, London",51.510854,-0.128993,2
Allsop Arms Public House,"137-143 Gloucester Place, London",51.522319,-0.160222,5
All Bar One,"60 Victoria Street, London",\N,\N,1
Shakespeare Tavern,"99 Buckingham Palace Road, London",51.49626,-0.144862,4
Byron Hamburgers,"6 Rathbone Place, London",51.516736,-0.13299,5
Lyceum Tavern Public House,"354 Strand, London",51.511318,-0.119751,1
The Portman,"51 Upper Berkeley Street, London",51.515185,-0.161186,5
The Loose Box,"Unit 22, Great Minster House, 51 Horseferry Road, London",51.495115,-0.132231,1
The Coachmakers Of Marylebone,"88 Marylebone Lane, London",51.518072,-0.153033,2
Moon Under Water,"28 Leicester Square, London",51.510697,-0.129302,5
Edgar Wallace Public House,"40 Essex Street, London",51.512952,-0.112852,3
The George Public House,"55 Great Portland Street, London",51.518067,-0.142059,2
Barley Mow Public House,"104 Horseferry Road, London",51.495045,-0.131254,1
The Perseverance,"11 Shroton Street, London",51.522582,-0.166669,1
Nag's Head Public House,"53 Kinnerton Street, London",51.501345,-0.157104,4
Pillars Of Hercules Public House,"7 Greek Street, London",51.514602,-0.131102,5
The Thomas Cubitt,"44 Elizabeth Street, London",51.493827,-0.150838,5
Argyll Arms Public House,"18 Argyll Street, London",51.515055,-0.141504,4
Tattersalls Tavern,"Tattersalls Tavern, Knightsbridge Green, London",51.500951,-0.162941,2
Buckingham Arms Public House,"62 Petty France, London",51.499127,-0.136836,5
